utc_date,category_key,current_amount,current_share,history_dates,history_count,history_mean_amount,history_share,relative_change,total_relative_change,excess_change_pp,amount_difference,status
2019-10-18,bucket:unknown,51554.28,0.109847378088322105008145183379287487,"[""2019-10-11"", ""2019-10-04""]",2,,,,,,,history_or_quality_unavailable
2019-10-19,category:electronics,260382.14,0.710188148672431204327426284627967758,"[""2019-10-12"", ""2019-10-05""]",2,,,,,,,history_or_quality_unavailable
2019-10-19,category:computers,21449.15,0.0585022157399016605605116214688456537,"[""2019-10-12"", ""2019-10-05""]",2,,,,,,,history_or_quality_unavailable
2019-10-19,bucket:unknown,50783.05,0.138509961794766367120724583427942938,"[""2019-10-12"", ""2019-10-05""]",2,,,,,,,history_or_quality_unavailable
2019-10-20,category:electronics,275094.14,0.729403838994367455921765092014358558,"[""2019-10-13"", ""2019-10-06""]",2,,,,,,,history_or_quality_unavailable
2019-10-20,category:computers,34587.75,0.0917083789286730461563377197395758056,"[""2019-10-13"", ""2019-10-06""]",2,,,,,,,history_or_quality_unavailable
2019-10-20,bucket:unknown,34594.11,0.0917252422774016093202773893595292198,"[""2019-10-13"", ""2019-10-06""]",2,,,,,,,history_or_quality_unavailable
2019-10-21,category:electronics,292234.92,0.757373283032340639790436373707079599,"[""2019-10-14"", ""2019-10-07""]",2,,,,,,,history_or_quality_unavailable
2019-10-21,category:computers,27332,0.0708352258923743075151737751469328155,"[""2019-10-14"", ""2019-10-07""]",2,,,,,,,history_or_quality_unavailable
2019-10-21,bucket:unknown,32745.92,0.0848662608024885732455465837501628210,"[""2019-10-14"", ""2019-10-07""]",2,,,,,,,history_or_quality_unavailable
2019-10-22,category:electronics,322706.85,0.775611807007844016071623766414044183,"[""2019-10-15"", ""2019-10-08"", ""2019-10-01""]",3,262591.893333333333333333333333333333,0.758492616244074322169931238278289153,0.228929217515321112730974380930368401,0.201804470934971240130000289233582230,2.71247465803498726009740916967861718,60114.9566666666666666666666666666667,comparable
2019-10-22,category:computers,23118.1,0.0555633427539205899966034355773251012,"[""2019-10-15"", ""2019-10-08"", ""2019-10-01""]",3,21976.7966666666666666666666666666667,0.0634796367426475456181247088166907265,0.0519321969732015842769927494741044304,0.201804470934971240130000289233582230,-14.9872273961769655853007539759477799,1141.30333333333333333333333333333333,comparable
2019-10-22,bucket:unknown,41198.99,0.0990199714719352735762958450874362976,"[""2019-10-15"", ""2019-10-08"", ""2019-10-01""]",3,31517.9766666666666666666666666666667,0.0910391873761056781712950651243494507,0.307158465015679411738888061025067916,0.201804470934971240130000289233582230,10.5353994080708171608887771791485687,9681.01333333333333333333333333333333,comparable
2019-10-23,category:electronics,273224.33,0.738305852444393523050952889094015634,"[""2019-10-16"", ""2019-10-09"", ""2019-10-02""]",3,324801.566666666666666666666666666667,0.766656702957610233690926657751597927,-0.158796144969333583879470203704887712,-0.126494024288376024289996821899134665,-3.23021206809575595894733818057530477,-51577.2366666666666666666666666666667,comparable
2019-10-23,category:computers,28679.89,0.0774987009189900378118368640684325882,"[""2019-10-16"", ""2019-10-09"", ""2019-10-02""]",3,27906.3466666666666666666666666666667,0.0658697183841337069277067695767193415,0.0277192619504475923278623357362912905,-0.126494024288376024289996821899134665,15.4213286238823616617859157635425955,773.543333333333333333333333333333333,comparable
2019-10-23,bucket:unknown,39962.05,0.107985315182858994247834121879334492,"[""2019-10-16"", ""2019-10-09"", ""2019-10-02""]",3,42144.6966666666666666666666666666667,0.0994777042648149772588326526232526690,-0.0517893552284830776256625092172530367,-0.126494024288376024289996821899134665,7.47046690598929466643343126818816281,-2182.64666666666666666666666666666667,comparable
2019-10-24,category:electronics,281924.98,0.776519631191641037224826473981997634,"[""2019-10-17"", ""2019-10-10"", ""2019-10-03""]",3,285868.066666666666666666666666666667,0.750974199486527408453794953698761871,-0.0137933792768272356875117915700506131,-0.0462369555430880282636722651157117201,3.24435762662607925761604735456611070,-3943.08666666666666666666666666666667,comparable
2019-10-24,category:computers,18712.07,0.0515395609684256091937066333001223179,"[""2019-10-17"", ""2019-10-10"", ""2019-10-03""]",3,23694.9266666666666666666666666666667,0.0622464719228006506893368228009921988,-0.210292132858820129991258325621884178,-0.0462369555430880282636722651157117201,-16.4055177315732101727586060506172458,-4982.85666666666666666666666666666667,comparable
2019-10-24,bucket:unknown,41810.74,0.115161346840033804669375311293018688,"[""2019-10-17"", ""2019-10-10"", ""2019-10-03""]",3,42975.1133333333333333333333333333333,0.112895440577399657737478884426985236,-0.0270941306030296293963622667196378928,-0.0462369555430880282636722651157117201,1.91428249400583988673099983960738274,-1164.37333333333333333333333333333333,comparable
2019-10-25,category:electronics,279924.74,0.758947235027327006096581286910003212,"[""2019-10-18"", ""2019-10-11"", ""2019-10-04""]",3,331980.673333333333333333333333333333,0.762120314291309396551598139580498284,-0.156804107933913662966042942941598146,-0.153278793818376110349018700345611840,-0.352531411553755261702424259598630693,-52055.9333333333333333333333333333333,comparable
2019-10-25,category:computers,14333.89,0.0388628249960537689502461466700886315,"[""2019-10-18"", ""2019-10-11"", ""2019-10-04""]",3,24547.5933333333333333333333333333333,0.0563533393629538331982238287742251576,-0.416077584251979623800187879925228244,-0.153278793818376110349018700345611840,-26.2798790433603513451169179579616404,-10213.7033333333333333333333333333333,comparable
2019-10-25,bucket:unknown,45474.37,0.123292594202676149261505764642387960,"[""2019-10-18"", ""2019-10-11"", ""2019-10-04""]",3,46134.0933333333333333333333333333333,0.105908965596444866005518393692937272,-0.0143001256915709770099163106272526724,-0.153278793818376110349018700345611840,13.8978668126805133339102389718359167,-659.723333333333333333333333333333333,comparable
2019-10-26,category:electronics,264323.54,0.746004040763472076222348448650169037,"[""2019-10-19"", ""2019-10-12"", ""2019-10-05""]",3,283716.436666666666666666666666666667,0.748600187315987477931162394841443511,-0.0683530954163612022431176029502978743,-0.0651108986354682561952465560229738253,-0.324219678089294604787104692732404900,-19392.8966666666666666666666666666667,comparable
2019-10-26,category:computers,24198.16,0.0682948069590813570972928984538742723,"[""2019-10-19"", ""2019-10-12"", ""2019-10-05""]",3,20493.4,0.0540728738136724487748259471271038396,0.180778201762518664545658602281710209,-0.0651108986354682561952465560229738253,24.5889100397986920740905158304684034,3704.76,comparable
2019-10-26,bucket:unknown,30437.63,0.0859045508064226159024188303890294621,"[""2019-10-19"", ""2019-10-12"", ""2019-10-05""]",3,45644.8433333333333333333333333333333,0.120436230874729495787747386990524015,-0.333163884960206895952394184286461567,-0.0651108986354682561952465560229738253,-26.8052986324738639757147628263487741,-15207.2133333333333333333333333333333,comparable
2019-10-27,category:electronics,257447.42,0.761870374557814082174928078804672146,"[""2019-10-20"", ""2019-10-13"", ""2019-10-06""]",3,267328.17,0.724062647363024405616823142305335586,-0.0369611253464234614705962338349901546,-0.0847518155566997731897662114550963651,4.77906902102763117191699776201062105,-9880.75,comparable
2019-10-27,category:computers,20581.9,0.0609085142982263083386741736434953655,"[""2019-10-20"", ""2019-10-13"", ""2019-10-06""]",3,25258.53,0.0684131346887175146562545048829443903,-0.185150521427810723743622451504501648,-0.0847518155566997731897662114550963651,-10.0398705871110950553856240049405282,-4676.63,comparable
2019-10-27,bucket:unknown,31310.72,0.0926585707251400714718219514322226427,"[""2019-10-20"", ""2019-10-13"", ""2019-10-06""]",3,40040.5433333333333333333333333333333,0.108450455512366059704163053318123150,-0.218024597235318901350239752823866942,-0.0847518155566997731897662114550963651,-13.3272781678619128160473541368770577,-8729.82333333333333333333333333333333,comparable
2019-10-28,category:electronics,251834.53,0.760811858022728962471348470124389580,"[""2019-10-21"", ""2019-10-14"", ""2019-10-07""]",3,300507.073333333333333333333333333333,0.756545559511057666413908912514560117,-0.161968045521990042563834492991745663,-0.166667360395202377089919453585390198,0.469931487321233452608496059364453492,-48672.5433333333333333333333333333333,comparable
2019-10-28,category:computers,19449.87,0.0587595820676399513811811528332443575,"[""2019-10-21"", ""2019-10-14"", ""2019-10-07""]",3,25181.2533333333333333333333333333333,0.0633953975889431173874447409555827493,-0.227605165535843066323413078724172586,-0.166667360395202377089919453585390198,-6.09378051406406892334936251387823877,-5731.38333333333333333333333333333333,comparable
2019-10-28,bucket:unknown,35338.17,0.106759381951406981162337556992266311,"[""2019-10-21"", ""2019-10-14"", ""2019-10-07""]",3,37480.5866666666666666666666666666667,0.0943597469969792430100234430453263931,-0.0571607025717135697626931488799179237,-0.166667360395202377089919453585390198,10.9506657823488807327226304705472274,-2142.41666666666666666666666666666667,comparable
2019-10-29,category:electronics,215597.29,0.752908705179804611449175404440331410,"[""2019-10-22"", ""2019-10-15"", ""2019-10-08"", ""2019-10-01""]",4,277620.6325,0.763389064934393566010373180417555984,-0.223410421413833498128061501336720714,-0.212600427972060276856456675115750989,-1.08099934417732212716048262209697250,-62023.3425,comparable
2019-10-29,category:computers,17905.77,0.0625305174566312499454343859404056189,"[""2019-10-22"", ""2019-10-15"", ""2019-10-08"", ""2019-10-01""]",4,22262.1225,0.0612154101288920737176649290040437915,-0.195684508518897962222604785325388448,-0.212600427972060276856456675115750989,1.69159194531623146338518897903625402,-4356.3525,comparable
2019-10-29,bucket:unknown,28120.63,0.0982028443963296985358954435529635676,"[""2019-10-22"", ""2019-10-15"", ""2019-10-08"", ""2019-10-01""]",4,33938.23,0.0933218595171538043152474533132637792,-0.171417307266760818109842499152136101,-0.212600427972060276856456675115750989,4.11831207052994587466141759636148873,-5817.6,comparable
2019-10-30,category:electronics,222979.09,0.749121362859501106922207974516465686,"[""2019-10-23"", ""2019-10-16"", ""2019-10-09"", ""2019-10-02""]",4,311907.2575,0.760263363823738856415374495306649900,-0.285110927564742542100034334725282883,-0.274478078030199802690776098770562213,-1.06328495345427394092582359547206706,-88928.1675,comparable
2019-10-30,category:computers,22672.1,0.0761692697323632231446051350332211047,"[""2019-10-23"", ""2019-10-16"", ""2019-10-09"", ""2019-10-02""]",4,28099.7325,0.0684921451466939303748901456883842072,-0.193156020257488216302414978505578300,-0.274478078030199802690776098770562213,8.13220577727115863883611202649839121,-5427.6325,comparable
2019-10-30,bucket:unknown,33027.09,0.110957931849499432495752789075751537,"[""2019-10-23"", ""2019-10-16"", ""2019-10-09"", ""2019-10-02""]",4,41599.035,0.101396237248251418192419386613242447,-0.206061150216585553006217572114353133,-0.274478078030199802690776098770562213,6.84169278136142496845585266562090792,-8571.945,comparable
2019-10-31,category:electronics,209898.48,0.753034906918614813290477121205989652,"[""2019-10-24"", ""2019-10-17"", ""2019-10-10"", ""2019-10-03""]",4,284882.295,0.757136503206067073453721842560342982,-0.263209810915065816919229747148730320,-0.259196695617996828639387722611451144,-0.401311529706898827984202453727917614,-74983.815,comparable
2019-10-31,category:computers,19796.7,0.0710229351913160203650240269742716353,"[""2019-10-24"", ""2019-10-17"", ""2019-10-10"", ""2019-10-03""]",4,22449.2125,0.0596636524989379596974101551643589633,-0.118156149129952776739941323108772746,-0.259196695617996828639387722611451144,14.1040546488044051899446399502678398,-2652.5125,comparable
2019-10-31,bucket:unknown,24636.96,0.0883879239161600236954786581401976747,"[""2019-10-24"", ""2019-10-17"", ""2019-10-10"", ""2019-10-03""]",4,42684.02,0.113442043302753619998182520266071751,-0.422806005619901780572682704206398554,-0.259196695617996828639387722611451144,-16.3609310001904951933294981594947410,-18047.06,comparable
2019-11-01,category:electronics,261581.25,0.774506378899157459639507169005585995,"[""2019-10-25"", ""2019-10-18"", ""2019-10-11"", ""2019-10-04""]",4,318966.69,0.761421871810634800149122978672596017,-0.179910447702234988863570675671494099,-0.193765036705769345180361335153751338,1.38545890035343563167906594822572389,-57385.44,comparable
2019-11-01,category:computers,15993.69,0.0473551331646884693404507754812432109,"[""2019-10-25"", ""2019-10-18"", ""2019-10-11"", ""2019-10-04""]",4,21994.1675,0.0525034140297428238535153491138024615,-0.272821305921217522781892062975331983,-0.193765036705769345180361335153751338,-7.90562692154481776015307278215806453,-6000.4775,comparable
2019-11-01,bucket:unknown,32997.65,0.0977015379110000550424527130111090711,"[""2019-10-25"", ""2019-10-18"", ""2019-10-11"", ""2019-10-04""]",4,45969.1625,0.109735363765781437416584341264865622,-0.282178569165796744719897822806756595,-0.193765036705769345180361335153751338,-8.84135324600273995395364876530052571,-12971.5125,comparable
2019-11-02,category:electronics,234743.69,0.746625131883464443912648586370835501,"[""2019-10-26"", ""2019-10-19"", ""2019-10-12"", ""2019-10-05""]",4,278868.2125,0.747983369648457766932526073671939129,-0.158227150037762012764362664676240215,-0.156695822433666274835881882994153679,-0.153132760409573792848078168208653638,-44124.5225,comparable
2019-11-02,category:computers,20830.42,0.0662531763034310120189680641320360059,"[""2019-10-26"", ""2019-10-19"", ""2019-10-12"", ""2019-10-05""]",4,21419.59,0.0574518585716843202414483370433004466,-0.0275061287354239740349838629030714407,-0.156695822433666274835881882994153679,12.9189693698242300800898020091082238,-589.17,comparable
2019-11-02,bucket:unknown,37145.05,0.118143443408714760095819944609262993,"[""2019-10-26"", ""2019-10-19"", ""2019-10-12"", ""2019-10-05""]",4,41843.04,0.112231859540230689720752471211461205,-0.112276498074709676925959490515029501,-0.156695822433666274835881882994153679,4.44193243589565979099223924791241780,-4697.99,comparable
2019-11-03,category:electronics,254677.91,0.798100031259278874289909050383846709,"[""2019-10-27"", ""2019-10-20"", ""2019-10-13"", ""2019-10-06""]",4,264857.9825,0.732900772570629609339273547736621028,-0.0384359663390549310704652822763233122,-0.116989104693705411934823522757591846,7.85531383546504808643582404812685333,-10180.0725,comparable
