policy,split,N_test,capacity_percent,selected_n,c_actual,control_n,treatment_n,conversion_control,conversion_treatment,p0_S,p1_S,delta_S,G,status,ci95_low,ci95_high,bootstrap_valid,bootstrap_invalid,invalid_reason
RESPONSE_MODEL,test_additional,2794557,30,838367,0.29999996421615305,122470,715897,792,7103,0.0064668898505756515,0.009921818362138688,0.003454928511563036,10.364784298382778,additional_benchmark_conditional_not_confirmatory,8.877497362774847,11.764400249986078,1000,0,
RESPONSE_MODEL,test_additional,2794557,50,1397278,0.49999982108076524,207738,1189540,805,7209,0.003875073409775775,0.006060325840240765,0.00218525243046499,10.926258242488023,additional_benchmark_conditional_not_confirmatory,9.420851175310704,12.29668742786366,1000,0,
RESPONSE_MODEL,test_additional,2794557,100,2794557,1.0,419366,2375191,813,7295,0.0019386407100241794,0.0030713319476202124,0.001132691237596033,11.32691237596033,additional_benchmark_conditional_not_confirmatory,9.847669598683423,12.70019036193835,1000,0,
S_LEARNER,test_additional,2794557,10,279455,0.0999997495130713,37926,241529,718,6414,0.018931603649211624,0.02655581731386293,0.007624213664651307,7.624194566992662,additional_benchmark_conditional_not_confirmatory,6.1096641435380015,9.025673383791718,1000,0,
S_LEARNER,test_additional,2794557,20,558911,0.19999985686461216,80047,478864,772,6870,0.009644333953802141,0.014346453272745498,0.004702119318943357,9.40423190748999,additional_benchmark_conditional_not_confirmatory,7.929760801064861,10.80043104421933,1000,0,
S_LEARNER,test_additional,2794557,30,838367,0.29999996421615305,122674,715693,786,7048,0.006407225654988017,0.009847797868639208,0.0034405722136511907,10.321715409784478,additional_benchmark_conditional_not_confirmatory,8.871215500046512,11.70898099259241,1000,0,
S_LEARNER,test_additional,2794557,50,1397278,0.49999982108076524,208128,1189150,798,7156,0.003834178966789668,0.006017743766555944,0.0021835647997662756,10.917820092013947,additional_benchmark_conditional_not_confirmatory,9.42531926560959,12.301710190277346,1000,0,
S_LEARNER,test_additional,2794557,100,2794557,1.0,419366,2375191,813,7295,0.0019386407100241794,0.0030713319476202124,0.001132691237596033,11.32691237596033,additional_benchmark_conditional_not_confirmatory,9.847669598683423,12.70019036193835,1000,0,
T_LEARNER,test_additional,2794557,10,279455,0.0999997495130713,38015,241440,607,5669,0.015967381296856504,0.023479953611663353,0.007512572314806849,7.512553496795192,additional_benchmark_conditional_not_confirmatory,6.085968255341267,8.86512630475509,1000,0,
T_LEARNER,test_additional,2794557,20,558911,0.19999985686461216,79703,479208,657,6080,0.008243102518098441,0.012687601208660958,0.004444498690562517,8.888991019474595,additional_benchmark_conditional_not_confirmatory,7.476822040664189,10.268492337617554,1000,0,
T_LEARNER,test_additional,2794557,30,838367,0.29999996421615305,122500,715867,673,6179,0.005493877551020408,0.008631491603887315,0.0031376140528669065,9.412841035841709,additional_benchmark_conditional_not_confirmatory,8.03799674428689,10.836584767897717,1000,0,
T_LEARNER,test_additional,2794557,50,1397278,0.49999982108076524,207929,1189349,684,6275,0.003289584425452919,0.005275995523601567,0.001986411098148648,9.932051936671703,additional_benchmark_conditional_not_confirmatory,8.58051838692936,11.325649400643252,1000,0,
T_LEARNER,test_additional,2794557,100,2794557,1.0,419366,2375191,813,7295,0.0019386407100241794,0.0030713319476202124,0.001132691237596033,11.32691237596033,additional_benchmark_conditional_not_confirmatory,9.847669598683423,12.70019036193835,1000,0,
