policy,nominal_capacity_percent,selected_n,c_actual,control_n,treatment_n,conversion_control,conversion_treatment,Q,reference_L,Q_minus_L,status,sparse_prefix
RANDOM,86,2403319,0.8599999928432306,360589,2042730,717,6298,2236.2082925435884,2313.707889398313,-77.49959685472459,point_estimate_only,False
RANDOM,87,2431264,0.8699997888753029,364708,2066556,724,6364,2261.5768450376736,2340.61092098473,-79.03407594705641,point_estimate_only,False
RANDOM,88,2459210,0.8799999427458449,368839,2090371,733,6435,2280.7702601948276,2367.514915284748,-86.74465508992034,point_estimate_only,False
RANDOM,89,2487155,0.8899997387779173,372985,2114170,737,6502,2324.5041489604137,2394.417946871165,-69.91379791075133,point_estimate_only,False
RANDOM,90,2515101,0.8999998926484591,377287,2137814,740,6576,2382.9523731270892,2421.321941171183,-38.36956804409374,point_estimate_only,False
RANDOM,91,2543046,0.9099996886805315,381621,2161425,745,6649,2429.469038653533,2448.2249727576,-18.75593410406691,point_estimate_only,False
RANDOM,92,2570992,0.9199998425510734,385773,2185219,753,6728,2462.616193979361,2475.128967057618,-12.512773078256942,point_estimate_only,False
RANDOM,93,2598938,0.9299999964216153,390094,2208844,757,6791,2504.610288802186,2502.0329613576364,2.57732744454961,point_estimate_only,False
RANDOM,94,2626883,0.9399997924536877,394289,2232594,761,6855,2545.9677064285333,2528.9359929440534,17.03171348447995,point_estimate_only,False
RANDOM,95,2654829,0.9499999463242296,398502,2256327,767,6928,2585.2293012331183,2555.8399872440714,29.38931398904697,point_estimate_only,False
RANDOM,96,2682774,0.9599997423563019,402716,2280058,775,6992,2604.180916576446,2582.743018830488,21.437897745958253,point_estimate_only,False
RANDOM,97,2710720,0.9699998962268438,406828,2303892,784,7072,2632.159753016017,2609.647013130506,22.51273988551111,point_estimate_only,False
RANDOM,98,2738665,0.9799996922589161,410960,2327705,793,7139,2647.3948194471477,2636.550044716923,10.844774730224799,point_estimate_only,False
RANDOM,99,2766611,0.9899998461294581,415149,2351462,799,7229,2703.3522494333356,2663.4540390169414,39.89821041639425,point_estimate_only,False
RANDOM,100,2794557,1.0,419366,2375191,813,7295,2690.3580333169593,2690.3580333169593,0.0,point_estimate_only,False
FROZEN_SIMPLE,0,0,0.0,0,0,0,0,0.0,0.0,0.0,origin,False
FROZEN_SIMPLE,1,27945,0.009999796032072347,4006,23939,9,137,83.21792311532701,26.90303158641689,56.314891528910124,point_estimate_only,True
FROZEN_SIMPLE,2,55891,0.01999994990261426,8215,47676,23,252,118.51880706025563,53.807025886435014,64.71178117382061,point_estimate_only,False
FROZEN_SIMPLE,3,83836,0.029999745934686607,12326,71510,35,385,181.9454810968684,80.7100574728519,101.2354236240165,point_estimate_only,False
FROZEN_SIMPLE,4,111782,0.03999989980522852,16487,95295,54,515,202.87954145690543,107.61405177287003,95.2654896840354,point_estimate_only,False
FROZEN_SIMPLE,5,139727,0.049999695837300864,20635,119092,76,643,204.3766900896535,134.51708335928691,69.85960673036658,point_estimate_only,False
FROZEN_SIMPLE,6,167673,0.05999984970784278,24923,142750,96,790,240.14645106929345,161.42107765930504,78.7253734099884,point_estimate_only,False
FROZEN_SIMPLE,7,195618,0.06999964573991513,29091,166527,110,928,298.32174899453435,188.32410924572193,109.99763974881242,point_estimate_only,False
FROZEN_SIMPLE,8,223564,0.07999979961045704,33311,190253,124,1065,356.78433550478826,215.22810354574005,141.5562319590482,point_estimate_only,False
FROZEN_SIMPLE,9,251510,0.08999995348099896,37548,213962,140,1204,406.22967934377334,242.13209784575818,164.09758149801516,point_estimate_only,False
FROZEN_SIMPLE,10,279455,0.0999997495130713,41649,237806,150,1342,485.53525894979475,269.0351294321751,216.50012951761965,point_estimate_only,False
FROZEN_SIMPLE,11,307401,0.10999990338361322,45844,261557,156,1475,584.9622197015967,295.9391237321932,289.0230959694035,point_estimate_only,False
FROZEN_SIMPLE,12,335346,0.11999969941568556,49878,285468,171,1593,614.3114399133887,322.8421553186101,291.46928459477857,point_estimate_only,False
FROZEN_SIMPLE,13,363292,0.12999985328622748,54037,309255,190,1714,626.6256083794437,349.74614961862824,276.8794587608155,point_estimate_only,False
