scope_id,utc_date,active_users,buyers,event_records,view_events,cart_events,remove_from_cart_events,purchase_events,sessions,purchase_sessions,purchase_amount_bad,purchase_amount_valid,purchase_zero_events,first_seen_users,purchase_amount,count_allowed,amount_allowed,amount_status,date_reason_codes,buyer_rate,amount_per_buyer,first_seen_ratio,buyer_rate_status,amount_per_buyer_status,first_seen_ratio_status,quality_and_history_pass,check_version
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-11,11594,948,76636,74191,1110,0,1335,16867,1147,0,1335,0,5602,415980.94,True,True,complete_observed,[],0.08176643091254097,438.79845991561183,0.48318095566672414,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-12,10505,901,74840,72475,1122,0,1243,15325,1053,0,1243,0,4741,377794.50,True,True,complete_observed,[],0.0857686815801999,419.30577136514984,0.4513089005235602,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-13,11286,1078,81440,78671,1270,0,1499,16586,1267,0,1499,0,4774,412334.49,True,True,complete_observed,[],0.09551656920077972,382.49952690166975,0.42300194931773877,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-14,10505,965,71878,68277,2147,0,1454,15406,1209,0,1454,0,4196,489641.53,True,True,complete_observed,[],0.09186101856258924,507.40054922279796,0.399428843407901,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-15,11662,936,77735,73919,2515,0,1301,17065,1120,0,1301,0,4766,410876.16,True,True,complete_observed,[],0.08026067569885097,438.9702564102564,0.4086777568170125,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-16,11434,1128,78750,74685,2430,0,1635,16540,1363,0,1635,0,4856,546884.71,True,True,complete_observed,[],0.09865313975861466,484.82687056737586,0.4246982683225468,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-17,10497,999,70909,67446,2006,0,1457,15189,1251,0,1457,0,4086,488219.86,True,True,complete_observed,[],0.09517004858531009,488.7085685685686,0.3892540725921692,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-18,11493,946,73358,69878,2085,0,1395,16539,1133,0,1395,0,4474,469326.45,True,True,complete_observed,[],0.08231097189593665,496.11675475687105,0.3892804315670408,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-19,10803,897,72477,69285,1949,0,1243,15906,1061,0,1243,0,4135,366638.25,True,True,complete_observed,[],0.08303249097472924,408.7382943143813,0.3827640470239748,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-20,11602,947,77383,74052,2041,0,1290,17013,1108,0,1290,0,4598,377149.29,True,True,complete_observed,[],0.0816238579555249,398.2569060190074,0.39631098086536803,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-21,11147,939,71121,67912,1884,0,1325,15858,1120,0,1325,0,4386,385853.22,True,True,complete_observed,[],0.08423791154570737,410.91929712460063,0.3934690948237194,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-22,11160,938,71284,68163,1836,0,1285,15886,1091,0,1285,0,4377,416067.48,True,True,complete_observed,[],0.08405017921146954,443.5687420042644,0.3922043010752688,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-23,10975,858,68176,65337,1685,0,1154,15434,989,0,1154,0,4263,370069.30,True,True,complete_observed,[],0.07817767653758542,431.3162004662004,0.38842824601366743,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-24,10108,852,64470,61385,1927,0,1158,14452,1010,0,1158,0,3744,363062.27,True,True,complete_observed,[],0.08428967154728928,426.1294248826291,0.370399683419074,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-25,10917,886,70107,66963,1916,0,1228,15639,1040,0,1228,0,3689,368832.94,True,True,complete_observed,[],0.08115782724191628,416.29,0.33791334615736923,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-26,10104,863,66104,63146,1781,0,1177,14301,1008,0,1177,0,3432,354319.18,True,True,complete_observed,[],0.0854117181314331,410.5668366164542,0.33966745843230406,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-27,9920,809,67261,64386,1727,0,1148,14315,985,0,1148,0,3503,337914.99,True,True,complete_observed,[],0.08155241935483871,417.6946724351051,0.353125,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-28,9742,765,62666,60652,921,0,1093,14018,912,0,1093,0,3218,331007.63,True,True,complete_observed,[],0.07852597002668857,432.68971241830064,0.3303223157462533,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-29,9582,672,61304,59538,849,0,917,13794,785,0,917,0,3152,286352.50,True,True,complete_observed,[],0.07013149655604257,426.1197916666667,0.32895011479858066,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-30,9475,754,58485,56638,869,0,978,13653,851,0,978,0,3043,297654.16,True,True,complete_observed,[],0.0795778364116095,394.76679045092834,0.32116094986807386,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,2019-10-31,10079,724,62275,60535,810,0,930,14138,819,0,930,0,3234,278736.72,True,True,complete_observed,[],0.07183252306776466,384.9954696132596,0.32086516519495983,defined,defined,defined,True,rees46-duckdb-crosscheck-v1
