utc_date,purpose,history_dates,history_count,meets_min3,meets_full4,status,reason
2019-10-19,count,"[""2019-10-12"",""2019-10-05""]",2,False,False,insufficient_history,outside_observation:2019-09-28;outside_observation:2019-09-21
2019-10-20,count,"[""2019-10-13"",""2019-10-06""]",2,False,False,insufficient_history,outside_observation:2019-09-29;outside_observation:2019-09-22
2019-10-21,count,"[""2019-10-14"",""2019-10-07""]",2,False,False,insufficient_history,outside_observation:2019-09-30;outside_observation:2019-09-23
2019-10-22,count,"[""2019-10-15"",""2019-10-08"",""2019-10-01""]",3,True,False,history_available_not_evaluated,outside_observation:2019-09-24
2019-10-23,count,"[""2019-10-16"",""2019-10-09"",""2019-10-02""]",3,True,False,history_available_not_evaluated,outside_observation:2019-09-25
2019-10-24,count,"[""2019-10-17"",""2019-10-10"",""2019-10-03""]",3,True,False,history_available_not_evaluated,outside_observation:2019-09-26
2019-10-25,count,"[""2019-10-18"",""2019-10-11"",""2019-10-04""]",3,True,False,history_available_not_evaluated,outside_observation:2019-09-27
2019-10-26,count,"[""2019-10-19"",""2019-10-12"",""2019-10-05""]",3,True,False,history_available_not_evaluated,outside_observation:2019-09-28
2019-10-27,count,"[""2019-10-20"",""2019-10-13"",""2019-10-06""]",3,True,False,history_available_not_evaluated,outside_observation:2019-09-29
2019-10-28,count,"[""2019-10-21"",""2019-10-14"",""2019-10-07""]",3,True,False,history_available_not_evaluated,outside_observation:2019-09-30
2019-10-29,count,"[""2019-10-22"",""2019-10-15"",""2019-10-08"",""2019-10-01""]",4,True,True,history_available_not_evaluated,history_quantity_only
2019-10-30,count,"[""2019-10-23"",""2019-10-16"",""2019-10-09"",""2019-10-02""]",4,True,True,history_available_not_evaluated,history_quantity_only
2019-10-31,count,"[""2019-10-24"",""2019-10-17"",""2019-10-10"",""2019-10-03""]",4,True,True,history_available_not_evaluated,history_quantity_only
2019-10-01,amount,[],0,False,False,insufficient_history,outside_observation:2019-09-24;outside_observation:2019-09-17;outside_observation:2019-09-10;outside_observation:2019-09-03
2019-10-02,amount,[],0,False,False,insufficient_history,outside_observation:2019-09-25;outside_observation:2019-09-18;outside_observation:2019-09-11;outside_observation:2019-09-04
2019-10-03,amount,[],0,False,False,insufficient_history,outside_observation:2019-09-26;outside_observation:2019-09-19;outside_observation:2019-09-12;outside_observation:2019-09-05
2019-10-04,amount,[],0,False,False,insufficient_history,outside_observation:2019-09-27;outside_observation:2019-09-20;outside_observation:2019-09-13;outside_observation:2019-09-06
2019-10-05,amount,[],0,False,False,insufficient_history,outside_observation:2019-09-28;outside_observation:2019-09-21;outside_observation:2019-09-14;outside_observation:2019-09-07
2019-10-06,amount,[],0,False,False,insufficient_history,outside_observation:2019-09-29;outside_observation:2019-09-22;outside_observation:2019-09-15;outside_observation:2019-09-08
2019-10-07,amount,[],0,False,False,insufficient_history,outside_observation:2019-09-30;outside_observation:2019-09-23;outside_observation:2019-09-16;outside_observation:2019-09-09
2019-10-08,amount,"[""2019-10-01""]",1,False,False,insufficient_history,outside_observation:2019-09-24;outside_observation:2019-09-17;outside_observation:2019-09-10
2019-10-09,amount,"[""2019-10-02""]",1,False,False,insufficient_history,outside_observation:2019-09-25;outside_observation:2019-09-18;outside_observation:2019-09-11
2019-10-10,amount,"[""2019-10-03""]",1,False,False,insufficient_history,outside_observation:2019-09-26;outside_observation:2019-09-19;outside_observation:2019-09-12
2019-10-11,amount,"[""2019-10-04""]",1,False,False,insufficient_history,outside_observation:2019-09-27;outside_observation:2019-09-20;outside_observation:2019-09-13
2019-10-12,amount,"[""2019-10-05""]",1,False,False,insufficient_history,outside_observation:2019-09-28;outside_observation:2019-09-21;outside_observation:2019-09-14
2019-10-13,amount,"[""2019-10-06""]",1,False,False,insufficient_history,outside_observation:2019-09-29;outside_observation:2019-09-22;outside_observation:2019-09-15
2019-10-14,amount,"[""2019-10-07""]",1,False,False,insufficient_history,outside_observation:2019-09-30;outside_observation:2019-09-23;outside_observation:2019-09-16
2019-10-15,amount,"[""2019-10-08"",""2019-10-01""]",2,False,False,insufficient_history,outside_observation:2019-09-24;outside_observation:2019-09-17
2019-10-16,amount,"[""2019-10-09"",""2019-10-02""]",2,False,False,insufficient_history,outside_observation:2019-09-25;outside_observation:2019-09-18
2019-10-17,amount,"[""2019-10-10"",""2019-10-03""]",2,False,False,insufficient_history,outside_observation:2019-09-26;outside_observation:2019-09-19
2019-10-18,amount,"[""2019-10-11"",""2019-10-04""]",2,False,False,insufficient_history,outside_observation:2019-09-27;outside_observation:2019-09-20
2019-10-19,amount,"[""2019-10-12"",""2019-10-05""]",2,False,False,insufficient_history,outside_observation:2019-09-28;outside_observation:2019-09-21
2019-10-20,amount,"[""2019-10-13"",""2019-10-06""]",2,False,False,insufficient_history,outside_observation:2019-09-29;outside_observation:2019-09-22
2019-10-21,amount,"[""2019-10-14"",""2019-10-07""]",2,False,False,insufficient_history,outside_observation:2019-09-30;outside_observation:2019-09-23
2019-10-22,amount,"[""2019-10-15"",""2019-10-08"",""2019-10-01""]",3,True,False,history_available_not_evaluated,outside_observation:2019-09-24
2019-10-23,amount,"[""2019-10-16"",""2019-10-09"",""2019-10-02""]",3,True,False,history_available_not_evaluated,outside_observation:2019-09-25
2019-10-24,amount,"[""2019-10-17"",""2019-10-10"",""2019-10-03""]",3,True,False,history_available_not_evaluated,outside_observation:2019-09-26
2019-10-25,amount,"[""2019-10-18"",""2019-10-11"",""2019-10-04""]",3,True,False,history_available_not_evaluated,outside_observation:2019-09-27
2019-10-26,amount,"[""2019-10-19"",""2019-10-12"",""2019-10-05""]",3,True,False,history_available_not_evaluated,outside_observation:2019-09-28
2019-10-27,amount,"[""2019-10-20"",""2019-10-13"",""2019-10-06""]",3,True,False,history_available_not_evaluated,outside_observation:2019-09-29
2019-10-28,amount,"[""2019-10-21"",""2019-10-14"",""2019-10-07""]",3,True,False,history_available_not_evaluated,outside_observation:2019-09-30
2019-10-29,amount,"[""2019-10-22"",""2019-10-15"",""2019-10-08"",""2019-10-01""]",4,True,True,history_available_not_evaluated,history_quantity_only
2019-10-30,amount,"[""2019-10-23"",""2019-10-16"",""2019-10-09"",""2019-10-02""]",4,True,True,history_available_not_evaluated,history_quantity_only
2019-10-31,amount,"[""2019-10-24"",""2019-10-17"",""2019-10-10"",""2019-10-03""]",4,True,True,history_available_not_evaluated,history_quantity_only
