utc_date,dim_name,dim_value_key,dim_value_label,current_amount,history_amount_sum,history_days,history_mean_amount,amount_difference,current_share,history_share,signed_contribution,direction,js_component,direction_rank,cumulative_same_direction_share,share_status
2019-10-25,brand_group,brand:brw,brw,433.41,986.38,3,328.793333333333333333333333333333333,104.616666666666666666666666666666667,0.00117508485006789252608511593351721785,0.000754803211948685288497582793945587212,-0.00156685764340716377199472984673351493,offsetting,3.32773604902098e-05,29,,defined
2019-10-25,brand_group,brand:bts,bts,744.37,1165.72,3,388.573333333333333333333333333333333,355.796666666666666666666666666666667,0.00201817657609431522032712154180155384,0.000892038768256474598539510345463462280,-0.00532881370080093209682795823197351124,offsetting,0.0001613491874674092,15,,defined
2019-10-25,brand_group,brand:candy,candy,0,385.83,3,128.61,-128.61,0,0.000295246987232264689937977624635562272,0.00192620896783745737820209213562272444,same_direction,0.00014762349361613234,49,0.959646510303670919206598564004154087,defined
2019-10-25,brand_group,brand:canon,canon,3721.13,8517.86,3,2839.28666666666666666666666666666667,881.843333333333333333333333333333333,0.0100889307771697397743270977912113815,0.00651808439640830964890003910991439353,-0.0132074841528212648517610885818987279,offsetting,0.0002791013644819545,7,,defined
2019-10-25,brand_group,brand:cantra,cantra,28.31,203.34,3,67.78,-39.47,0.0000767556173263700362554385733551889373,0.000155600970333589150796952984976272536,0.000591147406582259876507554440502518729,same_direction,9.843934310998953e-06,88,0.994114520603325249715055725030689540,defined
2019-10-25,brand_group,brand:canyon,canyon,55.32,69.22,3,23.0733333333333333333333333333333333,32.2466666666666666666666666666666667,0.000149986603691091148203845350689122289,0.0000529689149527443740442858543329280265,-0.000482962588571639392393723643055600556,offsetting,1.7430497239001842e-05,49,,defined
2019-10-25,brand_group,brand:carfashion,carfashion,0,155.47,3,51.8233333333333333333333333333333333,-51.8233333333333333333333333333333333,0,0.000118969621607962551757658505824043922,0.000776164912603191816574862670930889172,same_direction,5.9484810803981275e-05,83,0.991606002165968807732624470814439020,defined
2019-10-25,brand_group,brand:casio,casio,490.57,605.65,3,201.883333333333333333333333333333333,288.686666666666666666666666666666667,0.00133006016219700984407737551857488651,0.000463458875196903064720048073919934401,-0.00432369836115726702684006924028047775,offsetting,0.00015753030461230545,18,,defined
2019-10-25,brand_group,brand:chanel,chanel,193.12,167.35,3,55.7833333333333333333333333333333333,137.336666666666666666666666666666667,0.000523597485625877124749215728942214326,0.000128060501550733472931396095385950668,-0.00205690940787059278540560345436570173,offsetting,9.289290543317095e-05,25,,defined
2019-10-25,brand_group,brand:chicco,chicco,0,7.72,3,2.57333333333333333333333333333333333,-2.57333333333333333333333333333333333,0,0.00000590754151163228210953318109578451841,0.0000385411534398703339805617792473561742,same_direction,2.953770755816141e-06,116,1,defined
