round,effect,N,p0,delta,delta_fraction,delta_pp,q,q_fraction,n_A,n_B,K,tau,flips_B,buyers_A,buyers_B,mean_A,mean_B,difference,difference_pp,difference_per_10000,relative_change,se,ci_low,ci_high,p_value,df,method,unit,status,reason,estimation_error,two_sided_rejection,positive_rejection,negative_rejection,srm_status,srm_statistic,srm_p,srm_flag
2,0.40,84165,0.05717340937444306,0.004,1/250,0.4,0.004242561717893463,5611/1322550,42200,41965,340,0.004039683954137706,189,2392,2609,0.0566824644549763,0.06217085666626951,0.005488392211293207,0.5488392211293207,54.88392211293207,0.0968269863363601,0.001629858467668207,0.002293928314765881,0.008682856107820533,0.0007587939095017716,,unpooled_wald_z_min_cell_10,probability,ok,,0.0014487082571555013,True,True,False,ok,0.6561516069625141,0.4179218674062265,False
2,0.46,84165,0.05717340937444306,0.0046,23/5000,0.46,0.0048789459755774825,129053/26451000,42200,41965,392,0.004657517970652884,216,2392,2636,0.0566824644549763,0.06281424997021327,0.006131785515236972,0.6131785515236972,61.31785515236972,0.10817782138085294,0.0016339688061508574,0.002929265503319382,0.00933430552715456,0.00017494410331430794,,unpooled_wald_z_min_cell_10,probability,ok,,0.0014742675445840855,True,True,False,ok,0.6561516069625141,0.4179218674062265,False
2,0.50,84165,0.05717340937444306,0.005,1/200,0.5,0.00530320214736683,5611/1058040,42200,41965,440,0.005227826293589972,244,2392,2664,0.0566824644549763,0.06348147265578458,0.006799008200808275,0.6799008200808275,67.99008200808275,0.1199490577232898,0.0016382141264594755,0.0035881675139829575,0.010009848887633593,3.3210345618280444e-05,,unpooled_wald_z_min_cell_10,probability,ok,,0.001571181907218307,True,True,False,ok,0.6561516069625141,0.4179218674062265,False
2,S1_REFERENCE,84165,0.05717340937444306,0.005717340937444306,802/140275,0.5717340937444306,0.006064042947336585,802/132255,42200,41965,493,0.005857541733499673,267,2392,2687,0.0566824644549763,0.06402954843321816,0.00734708397824186,0.734708397824186,73.4708397824186,0.12961828757600605,0.0016416883071792415,0.004129434022330018,0.010564733934153702,7.629620045312993e-06,,unpooled_wald_z_min_cell_10,probability,ok,,0.0014895422447421813,True,True,False,ok,0.6561516069625141,0.4179218674062265,False
2,0.80,84165,0.05717340937444306,0.008,1/125,0.8,0.008485123435786926,5611/661275,42200,41965,656,0.007794213746806868,326,2392,2746,0.0566824644549763,0.06543548194924342,0.008753017494267122,0.8753017494267122,87.53017494267122,0.1544219641547126,0.0016505470664723637,0.005518004689193051,0.011988030299341194,1.1385200309983894e-07,,unpooled_wald_z_min_cell_10,probability,ok,,0.0009588037474602463,True,True,False,ok,0.6561516069625141,0.4179218674062265,False
3,0,84165,0.05717340937444306,0.0,0,0.0,0.0,0,42121,42044,0,0.0,0,2394,2418,0.05683625744877852,0.05751117876510323,0.0006749213163247045,0.06749213163247045,6.7492131632470445,0.011874837412244309,0.0016005863704925797,-0.0024621703239864354,0.0038120129566358444,0.6732649644621231,,unpooled_wald_z_min_cell_10,probability,ok,,0.0006749213163247062,False,False,False,ok,0.07044495930612488,0.7906900184910093,False
3,0.10,84165,0.05717340937444306,0.001,1/1000,0.1,0.0010606404294733658,5611/5290200,42121,42044,99,0.0011762609160577437,50,2394,2468,0.05683625744877852,0.058700409095233566,0.0018641516464550437,0.18641516464550437,18.64151646455044,0.0327986347119185,0.0016083765157951535,-0.0012882083980834745,0.005016511690993562,0.24644522054164264,,unpooled_wald_z_min_cell_10,probability,ok,,0.0006878907303973021,False,False,False,ok,0.07044495930612488,0.7906900184910093,False
3,0.20,84165,0.05717340937444306,0.002,1/500,0.2,0.0021212808589467316,5611/2645100,42121,42044,186,0.0022099447513812156,103,2394,2521,0.05683625744877852,0.05996099324517173,0.003124735796393205,0.3124735796393205,31.24735796393205,0.05497785984957317,0.001616570366358176,-4.3683900143540524e-05,0.00629315549292995,0.05324341637837781,,unpooled_wald_z_min_cell_10,probability,ok,,0.0009147910450119903,False,False,False,ok,0.07044495930612488,0.7906900184910093,False
3,0.30,84165,0.05717340937444306,0.003,3/1000,0.3,0.0031819212884200976,5611/1763400,42121,42044,261,0.0031010515059704154,136,2394,2554,0.05683625744877852,0.06074588526305775,0.003909627814279226,0.3909627814279226,39.096278142792265,0.0687875660673581,0.0016216395096506327,0.0007312727794567928,0.00708798284910166,0.01591275029555451,,unpooled_wald_z_min_cell_10,probability,ok,,0.0008085763083088148,True,True,False,ok,0.07044495930612488,0.7906900184910093,False
3,0.40,84165,0.05717340937444306,0.004,1/250,0.4,0.004242561717893463,5611/1322550,42121,42044,337,0.004004039683954137,166,2394,2584,0.05683625744877852,0.061459423461135955,0.0046231660123574325,0.46231660123574325,46.23166012357432,0.08134184444716266,0.001626226291376881,0.0014358210505466058,0.00781051097416826,0.004470791601182071,,unpooled_wald_z_min_cell_10,probability,ok,,0.0006191263284032961,True,True,False,ok,0.07044495930612488,0.7906900184910093,False
